review_id,date,reviewer,rating_1_5,title,body,replied
TP-979,2026-03-28,Oliver Yewtree,2,Great for our sites,"Renewal was painless, rate came in lower.",No
TP-928,2026-06-12,Gareth,4,Billing woes,Support took days to reply.,No
TP-1004,2025-10-22,Aisha,4,Brilliant onboarding,Quote was cheaper than the incumbent by some way.,No
TP-1246,2025-05-08,Holly,3,Mixed experience,Our broker recommended tem and it has been solid.,No
TP-1257,2025-11-17,Chloe Zephyr,3,Billing woes,Our broker recommended tem and it has been solid.,No
TP-1151,2026-06-25,Paula,3,Genuinely cheaper,Support took days to reply.,Yes
TP-847,2026-06-20,Zara,3,Billing woes,"Renewal was painless, rate came in lower.",Yes
TP-1070,2026-03-25,Tom,3,Great for our sites,Portal needs work but the pricing is honest.,Yes
TP-1037,2025-01-20,Megan Westcliff,3,Mixed experience,Our broker recommended tem and it has been solid.,No
TP-973,2025-03-12,Holly from Thackery Distillery,4,Refreshing energy supplier,Our broker recommended tem and it has been solid.,No
TP-999,2025-04-11,Peter,5,Mixed experience,Quote was cheaper than the incumbent by some way.,Yes
TP-802,2025-09-19,Grace,5,Slow support,Quote was cheaper than the incumbent by some way.,Yes
TP-867,2026-01-25,Jack from Langmere Motors Co,5,Brilliant onboarding,Our broker recommended tem and it has been solid.,No
TP-1337,2025-02-03,Sanjay,3,Mixed experience,Portal needs work but the pricing is honest.,Yes
TP-1012,2026-01-02,Oliver,3,Refreshing energy supplier,Quote was cheaper than the incumbent by some way.,Yes
TP-1255,2026-09-01,Omar,5,Avoid,Our broker recommended tem and it has been solid.,Yes
TP-1177,2026-03-05,Lewis from Northgate Data Rooms & Sons,4,Slow support,Our broker recommended tem and it has been solid.,No
TP-1077,2025-11-04,Freya,3,Great for our sites,"Renewal was painless, rate came in lower.",No
TP-1056,2025-03-11,Tom from Northgate Seafoods Holdings,3,Brilliant onboarding,Had a billing dispute that dragged on for weeks.,No
TP-1032,2025-11-12,Nia from Langmere Studios (UK),1,Mixed experience,Left after our contract ended - renewal offer was late.,No
TP-971,2025-10-18,Stefan Verity,5,Refreshing energy supplier,Our broker recommended tem and it has been solid.,Yes
TP-823,2026-01-18,Emily Applegarth,5,Refreshing energy supplier,Portal needs work but the pricing is honest.,Yes
TP-1053,2025-06-02,Nia from Ivybridge Textiles (UK),3,Avoid,Quote was cheaper than the incumbent by some way.,No
TP-1095,2026-06-01,Fatima,1,Transparent pricing,Portal needs work but the pricing is honest.,Yes
TP-1209,2025-07-27,Lucy from Whitethorn Roofing (UK),4,Mixed experience,Left after our contract ended - renewal offer was late.,Yes
TP-1105,2025-06-30,Gareth from Riverbank Maltings,1,Avoid,Quote was cheaper than the incumbent by some way.,No
TP-862,2025-05-30,Rhys Denholm,3,Refreshing energy supplier,Portal needs work but the pricing is honest.,No
TP-1005,2025-10-31,Fatima Maplin,3,Transparent pricing,Support took days to reply.,No
TP-1184,2026-03-26,Gareth from Farrier Nurseries & Sons,4,Slow support,Support took days to reply.,No
TP-1089,2026-06-18,Anita,5,Brilliant onboarding,Had a billing dispute that dragged on for weeks.,No
TP-1039,2026-06-01,Ben from Marlow Laundry Partners,4,Billing woes,Our broker recommended tem and it has been solid.,No
TP-1208,2026-01-16,Daniel Saltmarsh,1,Brilliant onboarding,Support took days to reply.,No
TP-936,2025-03-18,Tara from Whitethorn Packaging,2,Slow support,Portal needs work but the pricing is honest.,No
TP-1189,2025-07-24,Fatima from Westcliff Cinemas Co,3,Genuinely cheaper,Left after our contract ended - renewal offer was late.,Yes
TP-982,2026-01-25,Lewis,4,Avoid,"Renewal was painless, rate came in lower.",Yes
TP-1083,2026-08-08,Anita Northgate,4,Genuinely cheaper,Switched our sites and the savings matched the quote.,Yes
TP-809,2025-09-23,Craig,4,Avoid,Support took days to reply.,Yes
TP-1156,2025-08-14,Rhys from Marlow Tanning & Sons,3,Brilliant onboarding,Had a billing dispute that dragged on for weeks.,Yes
TP-924,2025-07-24,Oliver from Ivybridge Catering,3,Refreshing energy supplier,Switched our sites and the savings matched the quote.,No
TP-1020,2025-01-17,Lewis from Norbury Optics Partners,4,Refreshing energy supplier,"Renewal was painless, rate came in lower.",No
TP-1330,2025-06-05,Nia from Thackery Pharmacy Partners,3,Transparent pricing,Had a billing dispute that dragged on for weeks.,Yes
TP-1187,2025-10-03,Tara from Quayside Care,2,Billing woes,Support took days to reply.,No
TP-1347,2025-08-25,Lucy,4,Transparent pricing,Quote was cheaper than the incumbent by some way.,No
TP-909,2025-12-18,Rhys,4,Brilliant onboarding,Portal needs work but the pricing is honest.,Yes
TP-1050,2026-08-28,Ewan from Millpond Leisure (UK),4,Great for our sites,Support took days to reply.,No
TP-878,2026-08-26,Gareth from Quarrington Distillery Partners,2,Brilliant onboarding,Left after our contract ended - renewal offer was late.,No
TP-1338,2026-03-02,Ben from Elmwood Plastics Holdings,2,Avoid,Our broker recommended tem and it has been solid.,No
TP-1091,2025-02-13,Ben from Jarrow Catering & Sons,1,Refreshing energy supplier,Had a billing dispute that dragged on for weeks.,No
TP-958,2025-05-07,Amber,4,Mixed experience,Portal needs work but the pricing is honest.,No
TP-800,2025-12-30,Daniel,3,Mixed experience,Switched our sites and the savings matched the quote.,No
TP-1094,2025-02-03,Lucy from Tanfield Fabrications,1,Avoid,Left after our contract ended - renewal offer was late.,No
TP-892,2025-12-15,Iona Bramble,5,Great for our sites,"Renewal was painless, rate came in lower.",Yes
TP-1293,2025-08-30,Gareth,4,Avoid,"Renewal was painless, rate came in lower.",No
TP-1043,2025-07-31,Holly,1,Mixed experience,Left after our contract ended - renewal offer was late.,No
TP-1097,2025-07-27,Holly from Farrier Scaffolding,3,Brilliant onboarding,Had a billing dispute that dragged on for weeks.,No
TP-813,2025-06-25,Freya from Northgate Maltings,4,Avoid,"Renewal was painless, rate came in lower.",No
TP-1164,2025-06-01,James from Wrenfield Aggregates Partners,3,Slow support,Quote was cheaper than the incumbent by some way.,Yes
TP-1108,2025-06-15,Grace from Bexley Ice Cream,2,Genuinely cheaper,"Renewal was painless, rate came in lower.",No
TP-832,2026-07-02,Sarah from Norbury Timber,1,Slow support,"Renewal was painless, rate came in lower.",Yes
TP-1238,2025-06-18,Rhys from Saltmarsh Care Partners,4,Transparent pricing,Switched our sites and the savings matched the quote.,No
TP-1220,2026-08-11,Lucy Redwing,5,Refreshing energy supplier,Left after our contract ended - renewal offer was late.,Yes
TP-1281,2025-08-16,Omar Silverbeck,2,Slow support,Portal needs work but the pricing is honest.,Yes
TP-1178,2025-06-03,Callum from Kingsmead Distillery & Sons,5,Brilliant onboarding,Quote was cheaper than the incumbent by some way.,Yes
TP-1252,2025-05-27,Nia from Gilded Foundry (UK),4,Billing woes,Switched our sites and the savings matched the quote.,No
TP-1197,2026-02-07,James,2,Mixed experience,Our broker recommended tem and it has been solid.,No
TP-821,2025-08-13,Craig Bluewater,3,Slow support,Portal needs work but the pricing is honest.,No
TP-1225,2026-08-23,Tom from Farrier Cinemas (UK),3,Avoid,"Renewal was painless, rate came in lower.",No
TP-1286,2025-07-07,Zara from Selworthy Distillery (UK),2,Transparent pricing,Support took days to reply.,Yes
TP-825,2025-05-07,Nadia from Eastbrook Retail Partners,5,Refreshing energy supplier,Our broker recommended tem and it has been solid.,No
TP-1173,2026-03-09,Nia,1,Genuinely cheaper,Had a billing dispute that dragged on for weeks.,No
TP-1092,2025-05-29,Aisha from Bramble Tanning Co,5,Refreshing energy supplier,Switched our sites and the savings matched the quote.,Yes
TP-1041,2026-01-15,Callum from Harborne Studios & Sons,5,Genuinely cheaper,Quote was cheaper than the incumbent by some way.,Yes
TP-1162,2026-06-28,Craig from Quarrington Recycling,5,Refreshing energy supplier,Support took days to reply.,No
TP-1142,2025-03-20,Dev,4,Slow support,Support took days to reply.,Yes
TP-964,2025-02-13,Ewan Northgate,2,Slow support,"Renewal was painless, rate came in lower.",Yes
TP-956,2025-12-22,Jack from Garwood Gym Group,2,Brilliant onboarding,Support took days to reply.,No
TP-1114,2025-07-02,Amber Jespersen,5,Great for our sites,Quote was cheaper than the incumbent by some way.,Yes
TP-1192,2025-10-12,Kirsty,1,Avoid,Support took days to reply.,Yes
TP-901,2025-08-15,Chloe from Yewtree Bakehouse Co,4,Brilliant onboarding,Left after our contract ended - renewal offer was late.,No
TP-926,2025-05-20,Gareth from Hatherley Optics,4,Transparent pricing,Switched our sites and the savings matched the quote.,No
TP-1259,2026-08-02,Amber,1,Genuinely cheaper,Left after our contract ended - renewal offer was late.,Yes
TP-1323,2026-02-23,Jack,4,Genuinely cheaper,Had a billing dispute that dragged on for weeks.,No
TP-1233,2025-11-03,Omar,3,Billing woes,Support took days to reply.,Yes
TP-1119,2025-06-09,Ryan,5,Mixed experience,Had a billing dispute that dragged on for weeks.,No
TP-916,2025-05-19,Rhys Rosedale,4,Avoid,Switched our sites and the savings matched the quote.,Yes
TP-1048,2025-07-02,Freya from Jespersen Print,2,Mixed experience,"Renewal was painless, rate came in lower.",No
TP-885,2026-05-08,Amber,4,Avoid,Left after our contract ended - renewal offer was late.,Yes
TP-1086,2026-03-13,Noel from Cranleigh Milling,1,Brilliant onboarding,Our broker recommended tem and it has been solid.,No
TP-1313,2025-08-27,Grace Merrivale,3,Mixed experience,Left after our contract ended - renewal offer was late.,Yes
TP-1240,2025-04-22,Lewis from Westcliff Padel (UK),4,Transparent pricing,Quote was cheaper than the incumbent by some way.,Yes
TP-1270,2025-10-01,Ryan,1,Genuinely cheaper,Left after our contract ended - renewal offer was late.,No
TP-1061,2026-05-31,Nia,3,Brilliant onboarding,Had a billing dispute that dragged on for weeks.,No
TP-1241,2026-07-11,Emily Nettlebed,4,Mixed experience,Support took days to reply.,No
TP-839,2026-06-29,Peter Marlow,4,Avoid,Had a billing dispute that dragged on for weeks.,No
TP-987,2025-06-25,James,3,Billing woes,Quote was cheaper than the incumbent by some way.,No
TP-1346,2025-11-08,Sanjay,2,Billing woes,"Renewal was painless, rate came in lower.",No
TP-803,2025-11-03,James Bluewater,4,Genuinely cheaper,"Renewal was painless, rate came in lower.",No
TP-1075,2026-01-27,Rhys Tanfield,1,Mixed experience,Left after our contract ended - renewal offer was late.,No
TP-927,2025-09-02,Daniel,4,Billing woes,"Renewal was painless, rate came in lower.",No
TP-1294,2025-01-25,Rhys from Larkspur Cold Storage Group,4,Billing woes,Our broker recommended tem and it has been solid.,No
TP-876,2025-07-25,Oliver from Farrier Bookbinders Holdings,5,Billing woes,Portal needs work but the pricing is honest.,Yes
TP-855,2025-07-19,Aisha from Harborne Timber,3,Great for our sites,Quote was cheaper than the incumbent by some way.,No
TP-1239,2026-04-09,Peter from Tredegar Breweries,2,Billing woes,Our broker recommended tem and it has been solid.,Yes
TP-1325,2026-03-11,Zara Cobalt,2,Genuinely cheaper,Switched our sites and the savings matched the quote.,No
TP-986,2026-06-02,Sanjay Ravenscar,3,Brilliant onboarding,Switched our sites and the savings matched the quote.,No
TP-1134,2025-07-16,Paula Yarrow,3,Billing woes,Left after our contract ended - renewal offer was late.,No
TP-1024,2026-07-23,Nadia Zephyr,3,Genuinely cheaper,Had a billing dispute that dragged on for weeks.,Yes
TP-1202,2025-03-24,Ben from Tanfield Catering,1,Billing woes,Had a billing dispute that dragged on for weeks.,No
TP-1098,2026-07-03,Sanjay,5,Avoid,Switched our sites and the savings matched the quote.,No
TP-1145,2025-10-12,Daniel Ravenscar,2,Slow support,Switched our sites and the savings matched the quote.,Yes
TP-1247,2025-10-24,Sarah Quarrington,3,Brilliant onboarding,Support took days to reply.,No
TP-1063,2026-03-11,Fatima from Kestrel Aquatics,5,Great for our sites,"Renewal was painless, rate came in lower.",No
TP-1136,2025-10-03,James Torque,4,Mixed experience,"Renewal was painless, rate came in lower.",No
TP-1123,2026-07-30,Tara from Yewtree Dairy,4,Refreshing energy supplier,Had a billing dispute that dragged on for weeks.,No
TP-946,2025-07-03,Peter,1,Avoid,Quote was cheaper than the incumbent by some way.,No
TP-1015,2025-01-21,Tom from Cranleigh Padel Holdings,4,Slow support,Switched our sites and the savings matched the quote.,Yes
TP-1016,2025-04-01,Nadia,4,Brilliant onboarding,Quote was cheaper than the incumbent by some way.,No
TP-811,2026-02-22,Aisha,3,Refreshing energy supplier,Our broker recommended tem and it has been solid.,Yes
TP-993,2026-06-26,Ewan,3,Avoid,Quote was cheaper than the incumbent by some way.,No
TP-1113,2025-07-16,Iona Cranleigh,3,Genuinely cheaper,Portal needs work but the pricing is honest.,Yes
TP-1028,2025-08-16,Marcus,1,Avoid,Had a billing dispute that dragged on for weeks.,No
TP-1340,2026-01-11,Dev Tredegar,2,Avoid,Switched our sites and the savings matched the quote.,No
TP-1327,2026-03-14,Priya from Whitethorn Cold Storage,3,Refreshing energy supplier,Quote was cheaper than the incumbent by some way.,Yes
TP-1352,2026-05-17,Jack Ironbridge,2,Refreshing energy supplier,Had a billing dispute that dragged on for weeks.,Yes
TP-989,2025-05-16,Sarah Elmwood,3,Brilliant onboarding,Our broker recommended tem and it has been solid.,No
TP-886,2025-09-03,Callum,5,Refreshing energy supplier,Support took days to reply.,Yes
TP-941,2025-03-08,Ryan Umberside,2,Transparent pricing,Support took days to reply.,Yes
TP-953,2025-09-09,Nia from Elmwood Upholstery Partners,4,Billing woes,"Renewal was painless, rate came in lower.",No
TP-1154,2026-06-30,Tara from Nettlebed Leisure,2,Transparent pricing,Had a billing dispute that dragged on for weeks.,No
TP-848,2026-04-22,Noel from Bexley Engineering Partners,4,Avoid,Our broker recommended tem and it has been solid.,No
TP-954,2025-06-28,Kirsty,4,Brilliant onboarding,Support took days to reply.,No
TP-1318,2026-06-09,Priya Orchard,2,Billing woes,Our broker recommended tem and it has been solid.,No
TP-812,2026-07-16,Oliver from Applegarth Schools,2,Avoid,Switched our sites and the savings matched the quote.,Yes
TP-1214,2025-12-15,Kirsty,5,Refreshing energy supplier,Quote was cheaper than the incumbent by some way.,No
TP-827,2025-07-23,Lucy from Garwood Farm Foods Co,3,Mixed experience,Support took days to reply.,No
TP-961,2025-08-15,Peter,5,Genuinely cheaper,Support took days to reply.,Yes
TP-1272,2025-11-02,Callum,3,Transparent pricing,Portal needs work but the pricing is honest.,Yes
TP-1150,2026-05-13,Amber from Ironbridge Logistics,3,Mixed experience,"Renewal was painless, rate came in lower.",No
TP-919,2025-05-04,Sarah Eastbrook,2,Brilliant onboarding,Portal needs work but the pricing is honest.,No
TP-1126,2026-07-23,Nadia,3,Refreshing energy supplier,Left after our contract ended - renewal offer was late.,Yes
TP-1295,2026-02-18,Lewis Bluewater,2,Avoid,Portal needs work but the pricing is honest.,No
TP-840,2025-12-02,Megan,2,Great for our sites,Left after our contract ended - renewal offer was late.,Yes
TP-1331,2025-02-20,Emily Eastbrook,2,Genuinely cheaper,"Renewal was painless, rate came in lower.",No
TP-1249,2026-02-18,Sanjay,1,Billing woes,Support took days to reply.,No
TP-1153,2026-07-07,Ben Ravenscar,4,Slow support,Our broker recommended tem and it has been solid.,Yes
TP-1076,2026-05-16,Dev,5,Slow support,Had a billing dispute that dragged on for weeks.,Yes
TP-1251,2025-04-19,Grace,2,Brilliant onboarding,Had a billing dispute that dragged on for weeks.,No
TP-1299,2025-04-08,Gareth Hatherley,3,Slow support,Support took days to reply.,No
TP-1067,2025-07-15,Tara,3,Great for our sites,Switched our sites and the savings matched the quote.,Yes
TP-815,2025-11-01,Rhys Saltmarsh,3,Genuinely cheaper,Had a billing dispute that dragged on for weeks.,Yes
TP-972,2026-08-29,Ben Hollybush,1,Slow support,Switched our sites and the savings matched the quote.,No
TP-955,2025-12-21,Stefan,4,Genuinely cheaper,"Renewal was painless, rate came in lower.",No
TP-962,2025-06-10,Ben,2,Brilliant onboarding,Quote was cheaper than the incumbent by some way.,Yes
TP-1107,2025-03-17,Dev,4,Genuinely cheaper,Portal needs work but the pricing is honest.,No
TP-1118,2025-07-11,Rhys,5,Refreshing energy supplier,Our broker recommended tem and it has been solid.,Yes
TP-849,2026-05-23,James Atlas,3,Genuinely cheaper,Switched our sites and the savings matched the quote.,No
TP-806,2025-09-23,Dev,3,Billing woes,"Renewal was painless, rate came in lower.",No
TP-1226,2025-02-11,Peter,3,Transparent pricing,Quote was cheaper than the incumbent by some way.,Yes
TP-896,2025-02-25,Marcus from Ellerton Milling,4,Slow support,Our broker recommended tem and it has been solid.,No
TP-977,2026-05-14,Sanjay from Bramble Garden Partners,2,Great for our sites,Left after our contract ended - renewal offer was late.,No
TP-1022,2026-08-23,Callum Redwing,4,Mixed experience,Support took days to reply.,Yes
TP-1297,2025-10-21,Holly Ellerton,4,Great for our sites,Switched our sites and the savings matched the quote.,No
TP-1258,2025-04-30,Craig,5,Mixed experience,Support took days to reply.,No
TP-1326,2025-08-17,Peter,3,Refreshing energy supplier,Had a billing dispute that dragged on for weeks.,Yes
TP-1079,2025-10-30,Noel from Jarrow Foundry Holdings,2,Billing woes,Our broker recommended tem and it has been solid.,No
TP-1245,2025-09-20,Tara Nettlebed,4,Brilliant onboarding,"Renewal was painless, rate came in lower.",No
TP-1271,2025-12-27,James Yewtree,4,Slow support,Switched our sites and the savings matched the quote.,No
TP-1167,2025-06-13,Amber from Torque Maltings Co,3,Mixed experience,"Renewal was painless, rate came in lower.",Yes
TP-1345,2026-02-25,Aisha Quenington,3,Refreshing energy supplier,"Renewal was painless, rate came in lower.",No
TP-822,2025-04-09,Freya,3,Transparent pricing,Had a billing dispute that dragged on for weeks.,Yes
TP-1141,2025-02-15,Craig,3,Avoid,Left after our contract ended - renewal offer was late.,No
TP-1062,2025-02-11,Dev,5,Refreshing energy supplier,Quote was cheaper than the incumbent by some way.,Yes
TP-1009,2025-09-03,Ewan,5,Billing woes,"Renewal was painless, rate came in lower.",Yes
TP-857,2026-03-27,Kirsty,5,Genuinely cheaper,Had a billing dispute that dragged on for weeks.,Yes
