quote_id,mpan,quote_rate_p_per_kwh,generated_at,valid_until,status,notes
Q-70131,38 6830 3808 275,18.19,2026-08-27,2026-09-13,Priced,
Q-70132,87 6154 0727 911,28.85,2026-08-28,2026-09-06,Priced,
Q-70133,5804-2033-00459,16.52,2026-08-28,13/09/2026,Priced,
Q-70134,5079001634671,21.12,2026-08-26,10/09/2026,Priced,
Q-70135,9456-1826-52950,22.25,2026-08-31,2026-09-07,Priced,
Q-70136,5578004198546,,2026-08-29,2026-09-05,Errored,Timeout fetching consumption data
Q-70137,62 2996 3883 623,35.77,2026-08-31,2026-09-08,Priced,
Q-70138,92 4977 2814 108,17.82,2026-08-31,13/09/2026,Priced,
Q-70139,9086172587259,33.49,2026-08-26,2026-09-04,Priced,
Q-70140,38 1266 6689 447,17.11,2026-09-01,2026-09-04,Priced,
Q-70141,1588567935233,24.34,2026-09-01,2026-09-07,Priced,
Q-70142,8455124175698,31.45,2026-08-28,2026-09-04,Priced,
Q-70143,28 9451 5448 945,20.65,2026-08-28,2026-09-08,Priced,
Q-70144,2030-0544-46229,16.09,2026-08-28,2026-09-12,Priced,
Q-70145,75 9659 3595 576,19.79,2026-08-30,2026-09-10,Priced,
Q-70146,55 2527 2801 287,26.14,2026-08-28,12/09/2026,Priced,
Q-70147,90 6061 2161 653,20.27,2026-08-27,2026-09-05,Priced,
Q-70148,4084-6699-33594,17.32,2026-08-29,11/09/2026,Priced,
Q-70149,4033-2877-88289,27.3,2026-08-26,08/09/2026,Priced,
Q-70150,2631538696484,31.19,2026-08-26,13/09/2026,Priced,
Q-70151,9485799008957,22.75,2026-08-26,2026-09-07,Priced,
Q-70152,3924473456865,31.43,2026-08-27,14/09/2026,Priced,
Q-70153,9698806983708,26.69,2026-08-26,2026-09-13,Priced,
Q-70154,43 1550 7606 139,27.58,2026-08-30,2026-09-06,Priced,
Q-70155,2750-7812-22782,15.38,2026-08-31,2026-09-07,Priced,
Q-70156,08 6917 3111 592,30.06,2026-08-31,2026-09-04,Priced,
Q-70157,2630903773070,25.17,2026-09-01,2026-09-04,Priced,
Q-70158,2930462817408,24.72,2026-09-01,07/09/2026,Priced,
Q-70159,3409568001284,,2026-09-01,2026-09-14,Errored,Pricing engine returned no rate
Q-70160,6645-4061-36346,18.93,2026-08-29,15/09/2026,Priced,
Q-70161,0047-7491-14113,22.04,2026-08-29,10/09/2026,Priced,
Q-70162,9220873502733,20.29,2026-08-30,2026-09-13,Priced,
Q-70163,13 9279 0987 473,21.1,2026-08-29,12/09/2026,Priced,
Q-70164,5842979952474,19.32,2026-09-01,2026-09-05,Priced,
Q-70165,8964459049796,19.91,2026-08-26,10/09/2026,Priced,
Q-70166,46 1616 7788 079,22.15,2026-08-27,2026-09-06,Priced,
Q-70167,1439-8413-48760,21.67,2026-08-27,2026-09-07,Priced,
Q-70168,74 4839 1148 849,27.48,2026-08-27,12/09/2026,Priced,
Q-70169,51 6795 4067 948,20.6,2026-08-27,04/09/2026,Priced,
Q-70170,8969895656177,22.79,2026-08-31,11/09/2026,Priced,
Q-70171,9582617356381,22.83,2026-08-27,14/09/2026,Priced,
Q-70172,58 8145 9927 458,25.32,2026-08-31,2026-09-08,Priced,
Q-70173,1629778495034,31.2,2026-08-28,2026-09-11,Priced,
Q-70174,0169-2887-61333,25.35,2026-08-30,11/09/2026,Priced,
Q-70175,8837134093393,27.45,2026-08-30,2026-09-15,Priced,
Q-70176,3762316359936,26.12,2026-09-01,2026-09-05,Priced,
Q-70177,96 0969 0448 997,21.0,2026-09-01,2026-09-15,Priced,
Q-70178,0884925735445,22.4,2026-08-29,2026-09-12,Priced,
Q-70179,0872665410422,21.3,2026-08-30,10/09/2026,Priced,
Q-70180,0232227526857,24.8,2026-08-26,2026-09-15,Priced,
Q-70181,36 9268 3851 037,30.66,2026-08-29,2026-09-12,Priced,
Q-70182,6478784229314,18.85,2026-08-30,09/09/2026,Priced,
Q-70183,83 8673 6037 954,23.36,2026-08-26,05/09/2026,Priced,
Q-70184,86 8749 3096 292,20.97,2026-08-30,2026-09-12,Priced,
Q-70185,5878-2182-07318,29.98,2026-08-27,2026-09-15,Priced,
Q-70186,5773350759762,,2026-08-29,2026-09-12,Errored,Pricing engine returned no rate
Q-70187,23 1289 6805 090,21.73,2026-09-01,2026-09-09,Priced,
Q-70188,1939373607149,16.95,2026-08-29,05/09/2026,Priced,
Q-70189,94 8102 3466 949,19.44,2026-08-31,2026-09-11,Priced,
Q-70190,29 8550 4639 395,17.4,2026-08-28,14/09/2026,Priced,
Q-70191,8314-2261-86508,28.28,2026-09-01,12/09/2026,Priced,
Q-70192,9592-7230-68660,16.97,2026-08-26,13/09/2026,Priced,
Q-70193,93 2092 4992 861,20.96,2026-08-27,2026-09-11,Priced,
Q-70194,3949-0239-85862,18.38,2026-08-29,05/09/2026,Priced,
Q-70195,64 3349 9089 067,25.13,2026-08-28,09/09/2026,Priced,
Q-70196,4007942731369,29.24,2026-08-31,06/09/2026,Priced,
Q-70197,0301-0229-44954,20.47,2026-08-29,2026-09-06,Priced,
Q-70198,6125673267844,17.69,2026-08-26,2026-09-13,Priced,
Q-70199,76 9109 9726 394,26.16,2026-08-27,2026-09-07,Priced,
Q-70200,8727457458668,18.77,2026-08-26,08/09/2026,Priced,
Q-70201,09 9778 8850 122,29.6,2026-08-29,2026-09-11,Priced,
Q-70202,32 0275 1872 481,20.92,2026-08-26,06/09/2026,Priced,
Q-70203,46 7508 2945 236,22.41,2026-08-29,06/09/2026,Priced,
Q-70204,5497-1865-47083,27.53,2026-08-30,08/09/2026,Priced,
Q-70205,70 9685 5145 525,26.75,2026-08-29,2026-09-05,Priced,
Q-70206,6947299545461,27.4,2026-08-27,08/09/2026,Priced,
Q-70207,99 4256 0549 248,21.95,2026-08-31,11/09/2026,Priced,
Q-70208,54 5339 7125 905,,2026-09-01,2026-09-07,Errored,Timeout fetching consumption data
Q-70209,3479867174376,31.58,2026-08-31,10/09/2026,Priced,
Q-70210,9417998792581,29.84,2026-08-26,2026-09-08,Priced,
Q-70211,5077010047818,28.06,2026-08-31,05/09/2026,Priced,
Q-70212,6627-1135-53951,28.85,2026-08-27,2026-09-08,Priced,
Q-70213,8369-5922-27020,33.19,2026-08-30,08/09/2026,Priced,
Q-70214,2769-5833-98149,34.59,2026-08-31,08/09/2026,Priced,
Q-70215,9094-6848-97483,20.76,2026-08-28,2026-09-09,Priced,
Q-70216,4516863102981,18.83,2026-08-26,2026-09-07,Priced,
Q-70217,1245861050946,20.7,2026-08-27,2026-09-15,Priced,
Q-70218,93 5863 8131 345,21.15,2026-08-29,2026-09-06,Priced,
Q-70219,95 5123 9137 093,18.28,2026-08-30,2026-09-12,Priced,
Q-70220,92 0449 2253 248,23.31,2026-08-29,08/09/2026,Priced,
Q-70221,83 0670 3779 862,24.08,2026-08-30,14/09/2026,Priced,
Q-70222,77 4201 6021 695,23.6,2026-08-28,2026-09-14,Priced,
Q-70223,89 8504 8512 166,18.21,2026-09-01,09/09/2026,Priced,
Q-70224,6877603392994,23.78,2026-08-29,14/09/2026,Priced,
Q-70225,6144-8147-27096,18.41,2026-08-26,06/09/2026,Priced,
Q-70226,2327958522006,26.2,2026-08-28,2026-09-04,Priced,
Q-70227,8399145163775,29.95,2026-08-26,2026-09-12,Priced,
Q-70228,3241-3031-79345,32.97,2026-08-29,2026-09-04,Priced,
Q-70229,5159-0344-03800,28.32,2026-08-31,12/09/2026,Priced,
Q-70230,8342-2873-06639,19.55,2026-08-29,04/09/2026,Priced,
Q-70231,35 9004 7390 480,20.59,2026-08-26,10/09/2026,Priced,
Q-70232,73 6202 1862 704,23.13,2026-08-26,09/09/2026,Priced,
Q-70233,69 6741 9540 580,19.04,2026-09-01,2026-09-14,Priced,
Q-70234,9507137972370,24.8,2026-08-28,14/09/2026,Priced,
Q-70235,5484-6479-89894,26.44,2026-09-01,15/09/2026,Priced,
Q-70236,9546313870806,26.72,2026-08-27,08/09/2026,Priced,
Q-70237,98 2839 7082 464,20.47,2026-08-27,14/09/2026,Priced,
Q-70238,3653158939286,26.89,2026-08-27,2026-09-06,Priced,
Q-70239,90 9786 7892 211,31.19,2026-08-26,11/09/2026,Priced,
Q-70240,7147521452181,21.08,2026-08-31,2026-09-04,Priced,
Q-70241,1605420982507,17.88,2026-08-28,15/09/2026,Priced,
Q-70242,5345-5927-70358,33.98,2026-08-27,2026-09-09,Priced,
Q-70243,7593665873165,19.31,2026-09-01,2026-09-10,Priced,
Q-70244,2888-4129-68865,20.38,2026-09-01,2026-09-06,Priced,
Q-70245,00 0562 8608 833,19.43,2026-08-28,15/09/2026,Priced,
Q-70246,5223662153543,21.77,2026-08-30,2026-09-08,Priced,
Q-70247,12 5579 2007 726,30.74,2026-09-01,2026-09-11,Priced,
Q-70248,98 0737 5064 203,28.04,2026-08-26,2026-09-13,Priced,
Q-70249,4189840373881,22.37,2026-08-30,06/09/2026,Priced,
Q-70250,9877-7280-73589,19.12,2026-08-27,2026-09-07,Priced,
Q-70251,81 7110 3621 913,30.75,2026-08-28,06/09/2026,Priced,
Q-70252,99 6194 6226 935,25.51,2026-08-29,15/09/2026,Priced,
Q-70253,3145-5028-70704,24.09,2026-08-31,2026-09-13,Priced,
Q-70254,2960448123491,23.41,2026-08-29,14/09/2026,Priced,
Q-70255,2922569992949,33.45,2026-08-27,2026-09-05,Priced,
Q-70256,9286431356705,31.12,2026-08-27,2026-09-04,Priced,
Q-70257,0147-7903-35116,20.39,2026-08-31,2026-09-14,Priced,
Q-70258,3039-7723-96909,21.88,2026-08-26,04/09/2026,Priced,
Q-70259,8028224139824,20.92,2026-08-29,05/09/2026,Priced,
Q-70260,9133-9422-68465,17.5,2026-08-31,05/09/2026,Priced,
Q-70261,9265-0326-50102,34.51,2026-09-01,04/09/2026,Priced,
Q-70262,01 7114 4457 323,20.86,2026-08-29,2026-09-08,Priced,
Q-70263,20 4316 6260 056,26.62,2026-09-01,2026-09-06,Priced,
Q-70264,4957171762901,30.3,2026-08-27,2026-09-09,Priced,
Q-70265,32 7075 3805 269,,2026-08-28,2026-09-06,Errored,Pricing engine returned no rate
Q-70266,34 7262 6066 522,18.94,2026-08-29,2026-09-15,Priced,
Q-70267,80 6229 4858 588,,2026-08-28,2026-09-05,Errored,Pricing engine returned no rate
Q-70268,42 0078 4351 125,23.33,2026-09-01,06/09/2026,Priced,
Q-70269,5375-8927-77402,24.29,2026-08-31,2026-09-05,Priced,
Q-70270,76 7907 0630 256,25.95,2026-08-28,10/09/2026,Priced,
Q-70271,43 2070 8514 289,19.05,2026-08-31,2026-09-04,Priced,
Q-70272,9792422489906,,2026-08-28,04/09/2026,Errored,Pricing engine returned no rate
Q-70273,3273-0896-47200,,2026-08-31,2026-09-12,Errored,Timeout fetching consumption data
Q-70274,80 6897 5195 731,31.61,2026-08-28,13/09/2026,Priced,
Q-70275,0733704154182,19.91,2026-08-30,2026-09-13,Priced,
Q-70276,6777-7974-28098,34.29,2026-08-30,2026-09-08,Priced,
Q-70277,6668-9365-05903,31.59,2026-08-27,12/09/2026,Priced,
Q-70278,2332-5100-71434,22.95,2026-08-30,2026-09-07,Priced,
Q-70279,6067-3638-17535,25.63,2026-08-28,2026-09-13,Priced,
Q-70280,5331-4676-98424,17.67,2026-08-29,2026-09-07,Priced,
Q-70281,7580157355634,32.01,2026-08-30,06/09/2026,Priced,
Q-70282,7719897211069,36.89,2026-08-29,04/09/2026,Priced,
Q-70283,83 8228 0647 251,26.79,2026-08-29,09/09/2026,Priced,
Q-70284,8929-6899-62042,30.69,2026-08-29,07/09/2026,Priced,
Q-70285,0141887720804,18.42,2026-08-28,13/09/2026,Priced,
Q-70286,80 6909 2959 924,21.58,2026-08-26,2026-09-15,Priced,
Q-70287,3639839588303,24.63,2026-08-27,2026-09-14,Priced,
Q-70288,8269567006865,16.97,2026-08-27,09/09/2026,Priced,
Q-70289,8318078281385,21.49,2026-08-31,11/09/2026,Priced,
Q-70290,2303338106148,19.59,2026-08-27,12/09/2026,Priced,
Q-70291,11 1449 2056 370,14.95,2026-08-29,2026-09-12,Priced,
Q-70292,4298-4341-45553,22.57,2026-09-01,12/09/2026,Priced,
Q-70293,36 4434 0726 541,17.96,2026-08-26,12/09/2026,Priced,
Q-70294,7083-1557-95383,22.64,2026-08-29,2026-09-10,Priced,
Q-70295,18 0264 8125 991,22.9,2026-08-27,10/09/2026,Priced,
Q-70296,4530118974133,17.36,2026-09-01,14/09/2026,Priced,
Q-70297,80 4196 2984 416,18.5,2026-08-26,2026-09-14,Priced,
Q-70298,57 3191 7960 669,20.73,2026-09-01,14/09/2026,Priced,
Q-70299,2217-0787-88791,30.58,2026-08-31,13/09/2026,Priced,
Q-70300,0051186753537,22.54,2026-08-27,2026-09-15,Priced,
Q-70301,8666650155409,23.61,2026-08-31,12/09/2026,Priced,
Q-70302,2770-4572-57211,18.85,2026-08-31,2026-09-07,Priced,
Q-70303,40 2330 0449 091,22.64,2026-08-29,10/09/2026,Priced,
Q-70304,40 2863 4613 960,23.8,2026-09-01,07/09/2026,Priced,
Q-70305,5929972482125,24.75,2026-08-26,06/09/2026,Priced,
Q-70306,7013-5775-41007,34.56,2026-09-01,2026-09-08,Priced,
Q-70307,9491087339755,24.29,2026-09-01,2026-09-07,Priced,
Q-70308,0597906860715,24.44,2026-08-28,2026-09-09,Priced,
Q-70309,0777-7298-29280,23.01,2026-08-29,11/09/2026,Priced,
Q-70310,6732-5495-57811,30.4,2026-08-28,04/09/2026,Priced,
Q-70311,18 1236 9491 924,26.21,2026-08-28,05/09/2026,Priced,
Q-70312,8534-8715-79061,22.24,2026-09-01,2026-09-14,Priced,
Q-70313,7597-0532-30390,,2026-08-31,05/09/2026,Errored,Timeout fetching consumption data
Q-70314,18 7211 3486 487,18.11,2026-08-31,04/09/2026,Priced,
Q-70315,7047934193671,26.23,2026-08-26,06/09/2026,Priced,
Q-70316,7117360725736,25.67,2026-08-26,2026-09-09,Priced,
Q-70317,9931341052693,26.35,2026-08-30,15/09/2026,Priced,
Q-70318,48 9299 1215 367,16.76,2026-08-29,13/09/2026,Priced,
Q-70319,8160639287556,30.69,2026-08-28,04/09/2026,Priced,
Q-70320,56 3231 2683 417,29.48,2026-08-26,14/09/2026,Priced,
Q-70321,10 2916 7594 242,20.5,2026-08-28,07/09/2026,Priced,
Q-70322,0988-1655-68980,,2026-08-29,11/09/2026,Errored,Pricing engine returned no rate
Q-70323,5382317095420,32.08,2026-09-01,09/09/2026,Priced,
Q-70324,3930-7886-92457,19.94,2026-08-29,2026-09-11,Priced,
Q-70325,83 3566 6346 306,26.48,2026-08-29,09/09/2026,Priced,
Q-70326,8668-7366-20182,18.92,2026-08-31,09/09/2026,Priced,
Q-70327,35 3837 7529 609,25.22,2026-08-31,2026-09-15,Priced,
Q-70328,09 0805 4241 677,26.81,2026-08-29,13/09/2026,Priced,
Q-70329,1997492313514,20.36,2026-08-29,13/09/2026,Priced,
Q-70330,3640-7218-66684,22.3,2026-08-27,05/09/2026,Priced,
Q-70331,9232738084647,23.54,2026-08-27,2026-09-06,Priced,
Q-70332,7191-1735-45157,21.15,2026-08-26,2026-09-12,Priced,
Q-70333,8051299205710,18.71,2026-09-01,07/09/2026,Priced,
Q-70334,05 0900 7002 423,23.23,2026-08-28,10/09/2026,Priced,
Q-70335,8483-7649-91678,22.83,2026-09-01,2026-09-06,Priced,
Q-70336,7510703276866,27.45,2026-08-28,2026-09-04,Priced,
Q-70337,5176-1673-38059,31.3,2026-08-28,10/09/2026,Priced,
Q-70338,4943702359587,19.39,2026-09-01,2026-09-14,Priced,
Q-70339,5826-5469-30255,26.02,2026-08-27,2026-09-14,Priced,
Q-70340,3011561302733,28.0,2026-08-30,11/09/2026,Priced,
Q-70341,8089037051307,27.35,2026-08-31,2026-09-14,Priced,
Q-70342,00 2362 1595 663,29.64,2026-08-29,05/09/2026,Priced,
Q-70343,7744-8881-39626,30.98,2026-08-31,15/09/2026,Priced,
Q-70344,8620035009340,26.1,2026-09-01,2026-09-09,Priced,
Q-70345,0179-3249-30589,27.72,2026-08-29,2026-09-14,Priced,
Q-70346,9761392172337,28.23,2026-08-26,08/09/2026,Priced,
Q-70347,2306034759348,20.69,2026-08-27,2026-09-15,Priced,
Q-70348,02 9005 9403 393,20.98,2026-08-27,2026-09-06,Priced,
Q-70349,6272385009863,16.32,2026-08-29,2026-09-04,Priced,
Q-70350,6801082425237,20.18,2026-08-29,2026-09-13,Priced,
Q-70351,15 1535 5816 934,23.17,2026-09-01,10/09/2026,Priced,
Q-70352,49 0434 1600 039,30.94,2026-09-01,04/09/2026,Priced,
Q-70353,7326911440684,21.9,2026-08-29,2026-09-09,Priced,
Q-70354,9946341250872,20.01,2026-08-28,12/09/2026,Priced,
Q-70355,0444-5718-67039,23.34,2026-08-27,2026-09-04,Priced,
Q-70356,2789206100249,,2026-08-29,11/09/2026,Errored,Pricing engine returned no rate
Q-70357,7177481939073,16.94,2026-09-01,11/09/2026,Priced,
Q-70358,7996-1729-08505,26.92,2026-08-29,06/09/2026,Priced,
Q-70359,31 0875 2488 646,19.74,2026-09-01,14/09/2026,Priced,
Q-70360,0526-2442-14755,26.43,2026-08-31,14/09/2026,Priced,
Q-70361,2045549668488,17.11,2026-08-27,11/09/2026,Priced,
Q-70362,7714-7026-00579,20.4,2026-08-28,2026-09-06,Priced,
Q-70363,5168409364284,29.3,2026-08-27,06/09/2026,Priced,
Q-70364,0580-3763-16722,23.89,2026-08-27,2026-09-09,Priced,
Q-70365,6784683202872,25.52,2026-08-28,12/09/2026,Priced,
Q-70366,8971-1846-17968,23.77,2026-08-26,2026-09-09,Priced,
Q-70367,5107404101634,23.51,2026-08-28,08/09/2026,Priced,
Q-70368,3303-9101-33505,20.17,2026-08-27,05/09/2026,Priced,
Q-70369,2315-3123-35211,26.51,2026-08-31,2026-09-11,Priced,
Q-70370,20 0342 9410 893,23.35,2026-08-29,2026-09-06,Priced,
