entry_id,created,owner,customer,type,note,next_action,next_action_date
CRM-148410,2025-08-17,Kirsty Osei,BEXLEY COLD STORAGE HOLDINGS,Note,Waiting on LOA,,2025-09-03
CRM-142588,2024-08-30,Nia Wren,Zephyr Studios (UK) Ltd,Call,Updated contact details,,
CRM-119134,2024-12-15,Amber Doyle,CUS-10767,Call,Left voicemail,,
CRM-107675,2024-12-07,Callum Rowntree,,Email,Chased signature,,
CRM-114248,17/05/2026,Gareth Hansen,Riverbank Precision Partners Ltd,Call,Site added to account,,
CRM-100765,2025-09-29,Jack Sharpe,,Call,,Escalate to AM,2025-10-17
CRM-117903,28/08/2026,,CUS-10739,Call,Reviewing a competitor quote from incumbent,Send quote,09/09/2026
CRM-150017,19/06/2025,Gareth Hansen,CUS-12171,Email,Updated contact details,,
CRM-120943,2024-10-05,Kirsty Osei,TEM-39185-G,Email,Very happy with RED savings this year,Send quote,2024-10-11
CRM-131639,17/02/2025,,TEM-29137-B,Email,"Price sensitive, wants >10% saving to stay",,
CRM-103847,2024-09-26,Grace Nairn,TEM-62521-B,Task,Intro call booked,Send quote,
CRM-151829,2026-01-16,Grace Nairn,TEM-69635-F,Task,Chased signature,,
CRM-129092,29/04/2026,Callum Rowntree,,Email,"No answer, try next week",Send quote,
CRM-149366,26/01/2026,Callum Rowntree,CUS-12155,Email,,Send quote,
CRM-121648,2025-10-08,James Jennings,Farrier Optics Holdings,Note,,,
CRM-140181,2025-04-15,Amber Doyle,TEM-62829-G,Task,Updated contact details,,
CRM-119140,2025-09-07,Aisha Sharpe,Kestrel Care Ltd,Email,Intro call booked,Send quote,
CRM-108712,2025-07-02,Rhys Doyle,CUS-10401,Email,Intro call booked,,29/07/2025
CRM-100560,2026-02-16,Iona Mercer,TEM-40243-F,Call,Updated contact details,,
CRM-120412,22/08/2024,Gareth Hansen,Dunmore Aquatics Holdings,Note,,Book meeting,
CRM-102194,18/09/2024,Callum Rowntree,,Email,Renewal call went well - decision maker engaged,,
CRM-129689,2025-06-23,Anita Mercer,CUS-11291,Task,Intro call booked,Escalate to AM,2025-07-22
CRM-141693,2026-05-28,Jack Sharpe,TEM-32426-F,Email,Sent brochure,,20/06/2026
CRM-120488,2026-02-17,Kirsty Osei,CUS-10845,Task,Site added to account,,
CRM-145227,02/07/2026,Amber Doyle,,Task,,Send quote,
CRM-109785,2025-05-01,Kirsty Osei,Verity Distillery Holdings,Meeting,Sent brochure,,
CRM-100399,2024-05-01,James Jennings,CUS-10026,Email,Left voicemail,Send quote,2024-05-15
CRM-132194,24/12/2025,Kirsty Pryce,TEM-94084-E,Meeting,Asked when renewal pricing lands,,
CRM-143424,2024-04-08,Aisha Sharpe,Silverbeck Retail Holdings Ltd,Call,"No answer, try next week",,
CRM-134447,08/04/2026,Kirsty Osei,CUS-11526,Meeting,Chased signature,Send quote,
CRM-122305,18/12/2024,James Jennings,CUS-10928,Call,Sent brochure,,
CRM-152578,10/09/2024,Jack Sharpe,TEM-20411-G,Call,Site added to account,,
CRM-100156,2025-04-19,Kirsty Osei,Marlow Logistics Group,Task,Chased signature,,
CRM-115661,15/11/2024,Kirsty Osei,CUS-10673,Note,,,
CRM-116187,2024-11-12,Kirsty Osei,,Email,Chased signature,,2024-12-03
CRM-117687,2026-07-30,Anita Mercer,TEM-20494-A,Call,Renewal call went well - decision maker engaged,,
CRM-147148,2024-06-15,Anita Mercer,CUS-12065,Note,"Unhappy about invoice dispute, renewal at risk",,
CRM-155275,2024-10-07,Nia Wren,CUS-12402,Task,Intro call booked,Follow up,
CRM-122822,2026-07-11,Amber Doyle,Norbury Timber Ltd,Call,Site added to account,Book meeting,
CRM-143096,28/03/2025,Kirsty Osei,COBALT ROBOTICS,Call,Sent brochure,,
CRM-151531,22/03/2025,Kirsty Pryce,Silverbeck Breweries Group,Meeting,,,06/04/2025
CRM-119634,27/11/2025,Kirsty Osei,Ottershaw Milling Ltd,Meeting,Updated contact details,,
CRM-143294,05/04/2024,Gareth Hansen,CUS-11906,Note,,,2024-04-13
CRM-129373,2025-08-10,Kirsty Osei,CUS-11286,Call,Asked about early exit terms,,
CRM-153987,22/08/2025,Nia Wren,CUS-12355,Meeting,Confirmed budget approved for next term,,
CRM-124809,2024-07-13,Anita Mercer,Caldwell Motors & Sons,Note,Site added to account,,
CRM-154153,25/03/2026,James Jennings,CUS-12355,Email,,,
CRM-112108,2024-05-20,,CUS-10545,Note,Chased signature,Book meeting,2024-05-22
CRM-139426,2024-06-27,Kirsty Osei,,Call,Sent brochure,,
CRM-104060,2026-02-21,James Brooke,CUS-10173,Call,,,
CRM-126896,10/01/2025,Nia Wren,TEM-70386-A,Email,Confirmed budget approved for next term,,07/02/2025
CRM-151938,12/05/2025,Rhys Doyle,CUS-12278,Task,,,
CRM-133559,2025-04-09,,CUS-11486,Call,Updated contact details,,
CRM-139164,2024-09-03,James Brooke,CUS-11727,Call,,,
CRM-140205,2024-03-24,James Brooke,Elmwood Care Limited,Email,,Book meeting,
CRM-149279,06/04/2024,Anita Mercer,TEM-85578-B,Call,Site added to account,,
CRM-128728,2026-06-09,Rhys Doyle,,Meeting,Intro call booked,,17/06/2026
CRM-108886,21/03/2025,Grace Nairn,Marlow Catering Ltd,Call,Intro call booked,,
CRM-116295,2025-11-04,Aisha Sharpe,CUS-10702,Email,Site added to account,Follow up,2025-11-29
CRM-102506,04/11/2024,Callum Rowntree,,Meeting,Waiting on LOA,,2024-11-07
CRM-114129,2025-07-08,Rhys Doyle,Denholm Upholstery Limited,Call,,Book meeting,
CRM-145881,22/04/2024,James Jennings,TEM-86895-B,Call,Updated contact details,,
CRM-148174,08/10/2024,Nia Wren,TEM-36027-G,Meeting,"No answer, try next week",Send quote,
CRM-128912,05/09/2025,Aisha Sharpe,,Email,"No answer, try next week",Escalate to AM,
CRM-155848,29/10/2025,,TEM-16689-G,Note,Sent brochure,,2025-11-12
CRM-123837,17/07/2024,Rhys Doyle,CUS-11001,Meeting,,Follow up,2024-08-08
CRM-143731,2025-07-07,,TEM-41994-D,Note,Updated contact details,,
CRM-141752,2025-08-28,Nia Wren,CUS-11852,Note,Chased signature,Book meeting,2025-09-15
CRM-130938,06/07/2025,James Brooke,TEM-94343-F,Meeting,Intro call booked,,2025-07-30
CRM-117457,11/05/2024,Aisha Sharpe,TEM-77427-D,Call,Site added to account,,
CRM-116859,22/12/2025,Kirsty Osei,TEM-84055-E,Email,Confirmed budget approved for next term,Book meeting,
CRM-116438,2025-04-09,James Brooke,Maplin Bookbinders & Sons Ltd,Task,"No answer, try next week",,2025-04-26
CRM-145475,2024-07-09,Grace Nairn,,Email,,Send quote,13/07/2024
CRM-149091,2025-03-26,Nia Wren,Fernhill Plastics Ltd,Meeting,,,
CRM-114105,2026-08-31,Jack Sharpe,CUS-10609,Email,Wants multi-site quote for renewal,,2026-09-18
CRM-119395,2025-06-06,Callum Rowntree,TEM-56850-C,Email,Site added to account,Escalate to AM,
CRM-119618,2024-11-02,Jack Sharpe,CUS-10789,Meeting,"No answer, try next week",,
CRM-132003,23/08/2025,Gareth Hansen,TEM-46504-D,Call,Did not respond to renewal outreach,,
CRM-146163,27/12/2025,Rhys Doyle,CUS-12029,Call,Very happy with RED savings this year,,
CRM-130104,2024-08-19,James Brooke,TEM-29637-D,Task,,,
CRM-150844,2024-07-07,Jack Sharpe,TEM-32491-B,Note,Renewal call went well - decision maker engaged,,14/07/2024
CRM-144986,2024-08-10,Aisha Sharpe,CUS-11993,Meeting,Renewal call went well - decision maker engaged,,13/08/2024
CRM-128814,02/10/2025,Iona Mercer,Garwood Precision Ltd,Email,Confirmed budget approved for next term,,
CRM-156527,2024-08-27,Nia Wren,Marlow Care Holdings,Email,,,
CRM-109347,11/07/2024,Grace Nairn,Eastbrook Gym Partners Ltd,Email,Reviewing a competitor quote from incumbent,Follow up,
CRM-148162,2024-06-07,Amber Doyle,Atlas Logistics (UK) Ltd,Call,Intro call booked,Escalate to AM,
CRM-135138,02/04/2024,James Jennings,TEM-31729-D,Call,Updated contact details,,
CRM-108792,13/06/2026,Nia Wren,TEM-14572-D,Email,"No answer, try next week",,
CRM-123880,13/06/2025,James Brooke,,Call,Sent brochure,Book meeting,01/07/2025
CRM-125659,26/04/2024,Iona Mercer,CUS-11094,Email,Site added to account,Follow up,19/05/2024
CRM-141415,2026-01-19,Iona Mercer,Zetland Cinemas & Sons,Call,"Keen to renew, asked us to send terms",Book meeting,
CRM-106071,25/05/2026,James Jennings,CUS-10275,Call,"Price sensitive, wants >10% saving to stay",,
CRM-107162,09/07/2024,Jack Sharpe,CUS-10329,Email,,Follow up,
CRM-132638,16/11/2025,Kirsty Pryce,TEM-51299-B,Note,Intro call booked,Follow up,2025-11-30
CRM-141590,22/11/2025,Jack Sharpe,TEM-44301-C,Email,,,
CRM-136490,2025-12-23,Gareth Hansen,CUS-11618,Call,Intro call booked,,
CRM-104299,2024-06-20,Nia Wren,Pemberley Upholstery Holdings,Note,Asked when renewal pricing lands,,
CRM-127660,2025-02-24,Nia Wren,,Meeting,Broker moved book elsewhere,Send quote,28/02/2025
CRM-143954,20/02/2026,James Brooke,TEM-38201-D,Call,,,
CRM-135614,2024-05-18,Amber Doyle,CUS-11571,Email,Chased signature,Send quote,
CRM-115534,2024-04-04,James Brooke,Selworthy Print (UK) Ltd,Call,Waiting on LOA,,
CRM-142848,2024-08-30,Jack Sharpe,Kelbrook Ice Cream Co,Note,Renewal call went well - decision maker engaged,Follow up,
CRM-114326,2024-08-17,Iona Mercer,TEM-48706-C,Email,Waiting on LOA,,
CRM-108939,2024-04-15,Amber Doyle,Thackery Fabrications Co Ltd,Task,Site added to account,,
CRM-135777,2024-08-27,Jack Sharpe,CUS-11576,Note,,Book meeting,
CRM-108699,06/06/2024,Anita Mercer,Lowther Scaffolding Group,Call,,,2024-06-12
CRM-125772,15/08/2025,Aisha Sharpe,CUS-11102,Email,Sent brochure,Follow up,
CRM-107066,2026-02-06,Iona Mercer,CUS-10326,Email,Broker says customer gone quiet,Send quote,
CRM-126065,2025-07-07,Gareth Hansen,,Email,Site added to account,Book meeting,2025-07-30
CRM-152742,2025-05-26,Amber Doyle,TEM-75166-E,Email,Intro call booked,,
CRM-127321,14/04/2026,,TEM-65538-G,Email,Asked when renewal pricing lands,,14/05/2026
CRM-128737,22/08/2026,Gareth Hansen,TEM-63816-B,Meeting,,Escalate to AM,
CRM-117537,2026-03-26,James Jennings,TEM-10481-F,Meeting,Site added to account,,
CRM-111452,2025-11-22,,CUS-10519,Meeting,Asked when renewal pricing lands,,
CRM-154421,16/02/2026,Callum Rowntree,TEM-34584-D,Task,"Price sensitive, wants >10% saving to stay",,
CRM-120908,22/12/2024,Aisha Sharpe,TEM-39185-G,Call,Waiting on LOA,,
CRM-122595,2024-08-27,James Brooke,CUS-10939,Task,,,08/09/2024
CRM-141823,13/03/2026,Kirsty Osei,CUS-11853,Call,,Escalate to AM,10/04/2026
CRM-148883,03/07/2026,Rhys Doyle,TEM-96094-G,Email,Customer moved to incumbent,,
CRM-147576,20/10/2025,Grace Nairn,TEM-72256-F,Email,Renewal call went well - decision maker engaged,Escalate to AM,
CRM-135069,29/05/2025,Jack Sharpe,Maplin Packaging Ltd,Call,Updated contact details,,
CRM-113075,21/08/2026,James Brooke,CUS-10570,Meeting,Sent brochure,Follow up,
CRM-149985,2025-10-11,Nia Wren,TEM-51798-F,Note,"Keen to renew, asked us to send terms",Book meeting,
CRM-110704,09/04/2025,Gareth Hansen,Gilded Care,Email,Site added to account,,
CRM-108928,02/11/2025,James Brooke,CUS-10404,Email,Very happy with RED savings this year,,2025-11-27
CRM-155590,2025-08-07,James Brooke,Ellerton Laundry (UK) Ltd,Call,Site added to account,,
CRM-105820,2025-01-17,,CUS-10265,Meeting,,,
CRM-105114,2025-09-09,Aisha Sharpe,CUS-10228,Call,,,
CRM-116587,06/05/2024,Anita Mercer,CUS-10703,Email,Asked about early exit terms,Send quote,
CRM-135354,2026-04-17,Rhys Doyle,CUS-11564,Meeting,Intro call booked,,2026-05-13
CRM-149882,26/07/2024,Aisha Sharpe,Langmere Engineering Limited,Email,"No answer, try next week",Book meeting,2024-08-10
CRM-151278,18/07/2025,Amber Doyle,CUS-12244,Call,Very happy with RED savings this year,,11/08/2025
CRM-118106,2025-12-08,,TEM-77498-B,Note,Did not respond to renewal outreach,,
CRM-149672,2025-09-23,Callum Rowntree,CUS-12161,Task,,Book meeting,20/10/2025
CRM-121328,2025-01-21,James Brooke,,Task,Chased signature,,
CRM-132592,10/04/2025,,CUS-11424,Meeting,Updated contact details,,
CRM-115650,2025-03-18,,CUS-10672,Call,Updated contact details,,
CRM-117048,2025-04-09,Iona Mercer,,Task,Left voicemail,,
CRM-144530,2024-03-22,Nia Wren,CUS-11962,Email,Site added to account,Book meeting,
CRM-112436,24/05/2024,James Jennings,Applegarth Roofing Holdings,Call,Renewal call went well - decision maker engaged,,2024-06-06
CRM-107051,22/06/2025,Jack Sharpe,CUS-10326,Email,Site added to account,Escalate to AM,2025-07-03
CRM-116635,2024-06-27,Rhys Doyle,Maplin Bookbinders & Sons Ltd,Email,Broker says customer gone quiet,,
CRM-114522,2024-11-28,Kirsty Osei,Ellerton Farm Foods Holdings Ltd,Note,Escalation raised - threatened to leave,,
CRM-143717,2024-12-05,James Jennings,TEM-41994-D,Email,Left voicemail,Follow up,
CRM-133783,26/07/2025,Anita Mercer,CUS-11496,Meeting,Intro call booked,,2025-08-18
CRM-111859,2025-05-08,Amber Doyle,TEM-86901-B,Email,,Follow up,
CRM-114163,21/07/2024,Kirsty Osei,CUS-10614,Email,Intro call booked,,16/08/2024
CRM-132758,2024-07-09,,CUS-11433,Call,Site added to account,Follow up,
CRM-143573,2024-12-26,Gareth Hansen,CUS-11917,Email,,Escalate to AM,25/01/2025
CRM-137143,2025-04-26,Kirsty Osei,CUS-11646,Email,Updated contact details,Escalate to AM,
CRM-149676,2025-07-22,James Brooke,TEM-40508-E,Task,Sent brochure,Escalate to AM,2025-08-06
CRM-118894,02/06/2026,Kirsty Pryce,Kestrel Care Ltd,Task,Sent brochure,,2026-06-04
CRM-125500,18/04/2026,James Jennings,CUS-11084,Meeting,Broker says customer gone quiet,,08/05/2026
CRM-116089,2025-06-03,Kirsty Osei,Birchmoor Kennels,Call,"Keen to renew, asked us to send terms",Book meeting,
CRM-154915,2025-12-30,,,Call,Broker moved book elsewhere,Follow up,
CRM-136278,2024-04-16,Nia Wren,Northgate Tanning Group,Note,"No answer, try next week",Send quote,
CRM-139527,04/04/2026,,Vantage Bakehouse Ltd,Email,,,2026-04-29
CRM-153814,2026-01-19,Nia Wren,TEM-40123-E,Note,Left voicemail,,
CRM-129886,2024-05-14,Rhys Doyle,TEM-81307-B,Call,Broker says customer gone quiet,,
CRM-118065,20/03/2024,Callum Rowntree,TEM-83972-F,Task,,,
CRM-157530,11/07/2025,James Brooke,TEM-11458-B,Email,,,2025-07-13
CRM-106833,2025-02-11,Iona Mercer,Jespersen Laundry (UK) Ltd,Task,"Price sensitive, wants >10% saving to stay",Send quote,
CRM-109420,10/04/2025,,Quayside Leisure Limited,Note,,,
CRM-105865,15/11/2024,Anita Mercer,TEM-78334-C,Email,Intro call booked,Escalate to AM,2024-12-07
CRM-149576,18/02/2026,Rhys Doyle,TEM-64574-C,Call,,Book meeting,
CRM-120519,2024-04-15,Jack Sharpe,CUS-10847,Email,,,17/04/2024
CRM-150254,2025-03-25,Jack Sharpe,Whitethorn Gym Ltd,Task,Renewal call went well - decision maker engaged,Book meeting,
CRM-143590,2024-06-01,Callum Rowntree,Ingleby Veterinary Ltd,Email,"No answer, try next week",,
CRM-138200,2024-10-06,James Jennings,TEM-67551-G,Call,Updated contact details,,
CRM-153796,30/03/2026,Iona Mercer,Verity Nurseries Ltd,Email,"Keen to renew, asked us to send terms",,
CRM-137003,17/08/2026,Gareth Hansen,TEM-73923-G,Email,Site added to account,,
CRM-120590,12/12/2025,Amber Doyle,Ironbridge Catering Ltd,Call,Updated contact details,Escalate to AM,
CRM-154779,23/11/2024,Grace Nairn,TEM-95833-B,Meeting,,Book meeting,
CRM-134440,07/09/2024,Rhys Doyle,Ashcombe Tanning Ltd,Task,Updated contact details,Book meeting,
CRM-145033,2026-02-07,Aisha Sharpe,CUS-11993,Meeting,Waiting on LOA,,2026-02-12
CRM-113338,2026-08-20,Grace Nairn,CUS-10583,Call,Sent brochure,,2026-09-16
CRM-130915,2024-07-12,Jack Sharpe,Westcliff Packaging Partners,Email,Broker says customer gone quiet,Follow up,
CRM-142842,2025-02-27,Kirsty Pryce,TEM-79283-A,Task,Updated contact details,,2025-03-06
CRM-107417,09/12/2025,Jack Sharpe,TEM-71828-E,Meeting,,,
CRM-152672,09/08/2026,Gareth Hansen,MARLOW NURSERIES PARTNERS LTD,Call,Updated contact details,,
CRM-125924,20/06/2026,Callum Rowntree,TEM-32914-F,Note,Left voicemail,,
CRM-108497,10/04/2026,Rhys Doyle,CUS-10398,Call,Site added to account,Escalate to AM,
CRM-105947,22/09/2024,Iona Mercer,CUS-10267,Meeting,"No answer, try next week",,
CRM-126751,2026-06-08,Rhys Doyle,CUS-11135,Task,,,17/06/2026
CRM-108846,14/11/2024,Callum Rowntree,TEM-14572-D,Call,Chased signature,Follow up,
CRM-109021,17/07/2026,Amber Doyle,,Email,Updated contact details,,
CRM-112412,20/04/2026,,Denholm Padel Holdings Ltd,Email,"Keen to renew, asked us to send terms",Follow up,
CRM-113127,2024-08-24,Amber Doyle,CUS-10576,Email,,,
CRM-115550,31/07/2026,Grace Nairn,TEM-95599-A,Meeting,Broker says customer gone quiet,,
CRM-121628,2026-03-14,James Brooke,CUS-10886,Email,Site added to account,,
CRM-119708,01/10/2025,Kirsty Osei,Bexley Plastics Ltd,Call,Broker says customer gone quiet,Follow up,
CRM-143004,25/08/2025,Callum Rowntree,,Email,,,19/09/2025
CRM-145665,29/09/2024,Callum Rowntree,Zetland Marine Co,Email,Escalation raised - threatened to leave,Send quote,
CRM-109869,2026-01-03,Anita Mercer,Cedar Upholstery,Call,Chased signature,Send quote,
CRM-104779,2024-05-04,James Jennings,TEM-68006-C,Email,Escalation raised - threatened to leave,Escalate to AM,
CRM-133615,2026-06-28,Amber Doyle,CUS-11487,Email,Site added to account,,
CRM-116734,2024-12-07,Amber Doyle,CUS-10704,Call,,Book meeting,
CRM-137447,01/01/2026,Anita Mercer,,Task,,Escalate to AM,
CRM-110528,2024-08-24,Jack Sharpe,,Email,Waiting on LOA,Follow up,
CRM-142240,19/06/2025,Gareth Hansen,TEM-44601-D,Task,Sent brochure,,2025-06-29
CRM-157064,24/07/2024,Iona Mercer,Jarrow Catering Ltd,Email,Updated contact details,Book meeting,
CRM-125513,2025-12-21,Kirsty Pryce,CUS-11085,Email,"Keen to renew, asked us to send terms",Escalate to AM,
CRM-129244,2024-04-20,James Jennings,Ottershaw Dairy (UK) Ltd,Task,Chased signature,,18/05/2024
CRM-105999,19/11/2025,Jack Sharpe,,Task,Updated contact details,Follow up,
CRM-104000,2025-10-30,Jack Sharpe,TEM-27218-C,Call,,Book meeting,2025-11-27
CRM-101668,2024-09-01,Jack Sharpe,TEM-77040-A,Meeting,Waiting on LOA,Escalate to AM,
CRM-100410,2026-08-18,Nia Wren,Yarrow Leisure Ltd,Meeting,Intro call booked,,
CRM-139887,2025-11-26,Iona Mercer,TEM-79268-A,Call,,,
CRM-152281,18/01/2026,Kirsty Osei,CUS-12288,Email,Waiting on LOA,Escalate to AM,
CRM-104607,28/06/2026,Amber Doyle,TEM-75583-G,Email,Intro call booked,Send quote,
CRM-147564,04/08/2024,Kirsty Pryce,TEM-72256-F,Note,Confirmed budget approved for next term,,2024-08-28
CRM-116092,25/05/2025,Anita Mercer,CUS-10696,Call,Intro call booked,,
CRM-102778,15/08/2025,Kirsty Osei,Langmere Hotels Group,Call,Escalation raised - threatened to leave,,24/08/2025
CRM-111398,2024-05-04,Aisha Sharpe,,Task,Sent brochure,Send quote,
CRM-127736,2024-10-21,Rhys Doyle,TEM-16645-C,Email,"No answer, try next week",Follow up,
CRM-134484,2026-01-02,Kirsty Pryce,Cedar Engineering,Email,Site added to account,Follow up,
CRM-127804,13/03/2026,Jack Sharpe,CUS-11186,Meeting,Site added to account,,2026-04-08
CRM-135410,08/05/2026,James Brooke,CUS-11564,Note,Sent brochure,,
CRM-113225,25/06/2024,Iona Mercer,,Call,Left voicemail,Follow up,
CRM-150940,2024-10-22,James Jennings,,Task,"No answer, try next week",,
CRM-139231,16/04/2024,Grace Nairn,CUS-11731,Note,"No answer, try next week",,
CRM-135338,18/05/2026,Kirsty Pryce,SELWORTHY MILLING LTD,Email,Waiting on LOA,,2026-05-28
CRM-122089,04/02/2026,Grace Nairn,CUS-10914,Call,Reviewing a competitor quote from incumbent,,
CRM-107379,18/12/2025,Anita Mercer,Redwing Kennels & Sons,Call,Updated contact details,Book meeting,
CRM-108368,18/09/2024,,CUS-10391,Meeting,Confirmed budget approved for next term,Follow up,
CRM-128640,2026-03-17,Gareth Hansen,,Task,Waiting on LOA,,
CRM-137608,2024-08-21,Kirsty Osei,Elmwood Distillery (UK) Ltd,Task,,,12/09/2024
CRM-154364,2026-08-21,James Jennings,TEM-47621-A,Meeting,,Book meeting,
CRM-114629,27/07/2024,James Jennings,CUS-10627,Meeting,Sent brochure,,
CRM-108150,01/05/2025,Anita Mercer,,Note,Very happy with RED savings this year,,2025-05-07
CRM-108618,24/07/2026,Jack Sharpe,CUS-10401,Email,,Book meeting,
CRM-132794,2025-05-16,Callum Rowntree,TEM-30282-D,Task,Wants multi-site quote for renewal,,12/06/2025
CRM-144332,2025-10-16,Kirsty Osei,CUS-11945,Call,Intro call booked,,
CRM-108197,21/07/2024,Rhys Doyle,CUS-10382,Email,,Escalate to AM,
CRM-105920,2024-08-03,James Brooke,CUS-10266,Call,Sent brochure,,
CRM-121755,2024-10-31,James Jennings,TEM-20082-C,Note,,Book meeting,
CRM-117546,2025-07-07,Kirsty Pryce,,Email,,,
CRM-133288,2026-04-30,,TEM-15708-D,Email,,,
CRM-118512,2025-03-06,Jack Sharpe,TEM-95329-D,Task,Waiting on LOA,,
CRM-113229,2024-07-15,Iona Mercer,CUS-10582,Email,Updated contact details,,2024-08-07
CRM-148593,2024-08-28,Aisha Sharpe,TEM-62820-B,Task,Intro call booked,Escalate to AM,
CRM-126061,18/05/2024,Nia Wren,TEM-82283-C,Call,Waiting on LOA,,
CRM-138474,12/01/2026,Jack Sharpe,CUS-11682,Email,,Follow up,
CRM-131684,06/06/2025,James Brooke,,Call,,Send quote,
CRM-131772,2024-10-21,Gareth Hansen,CUS-11377,Email,"No answer, try next week",,
CRM-125626,13/10/2025,Aisha Sharpe,CUS-11091,Task,Chased signature,Escalate to AM,2025-10-30
CRM-153789,02/05/2026,Callum Rowntree,TEM-62986-G,Note,Chased signature,,
CRM-100893,06/09/2024,Grace Nairn,Millpond Catering Ltd,Call,Site added to account,,
CRM-133687,2026-02-28,Callum Rowntree,,Meeting,"No answer, try next week",,
CRM-148183,2024-03-26,James Brooke,Riverbank Garden Ltd,Task,,,
CRM-110326,19/03/2024,Jack Sharpe,,Meeting,Sent brochure,,
CRM-122747,27/05/2024,Amber Doyle,Torque Laundry Holdings,Email,"No answer, try next week",Book meeting,
CRM-153529,13/08/2025,Kirsty Osei,TEM-86807-E,Email,,,
CRM-147184,19/12/2025,James Jennings,TEM-22878-E,Call,Wants multi-site quote for renewal,,
CRM-114929,15/06/2025,Amber Doyle,Umberside Aggregates Co Ltd,Email,Chased signature,,
CRM-112757,23/05/2025,Gareth Hansen,CUS-10566,Note,Broker moved book elsewhere,Send quote,
CRM-120738,04/04/2024,Kirsty Pryce,Denholm Timber Holdings,Note,"No answer, try next week",Book meeting,
CRM-132578,2025-07-10,Rhys Doyle,CUS-11423,Email,Customer moved to incumbent,,
CRM-111351,03/10/2025,James Brooke,TEM-79480-B,Task,Intro call booked,,15/10/2025
CRM-110002,29/12/2025,Kirsty Pryce,CUS-10456,Task,Waiting on LOA,Escalate to AM,2026-01-04
CRM-131886,26/09/2024,Amber Doyle,CUS-11389,Task,,,2024-10-19
CRM-105090,26/10/2025,Jack Sharpe,TEM-27772-D,Email,Site added to account,Send quote,12/11/2025
CRM-114357,08/09/2024,Iona Mercer,CUS-10615,Task,,,2024-09-11
CRM-126232,29/01/2025,Callum Rowntree,CUS-11109,Email,Chased signature,,
CRM-107277,2025-12-14,,,Call,,Send quote,
CRM-152245,2025-02-12,Nia Wren,CUS-12287,Email,Intro call booked,,
CRM-115255,2025-11-09,Aisha Sharpe,CUS-10660,Email,Reviewing a competitor quote from incumbent,Send quote,
CRM-115577,07/06/2025,Grace Nairn,Whitethorn Galvanising (UK) Ltd,Email,Very happy with RED savings this year,,
CRM-149423,2025-10-11,Anita Mercer,CUS-12155,Task,,Escalate to AM,
CRM-134514,05/08/2026,Grace Nairn,CUS-11531,Email,,Book meeting,
CRM-120739,2024-07-25,Callum Rowntree,Norbury Nurseries Holdings,Meeting,"No answer, try next week",,2024-08-22
CRM-144255,22/08/2025,Callum Rowntree,TEM-89434-A,Call,Intro call booked,,
CRM-118025,27/04/2025,Aisha Sharpe,CUS-10739,Meeting,Intro call booked,,2025-05-03
CRM-148128,2026-06-15,Rhys Doyle,CUS-12088,Note,Broker says customer gone quiet,,
CRM-134096,2025-10-18,James Jennings,,Meeting,Sent brochure,,16/11/2025
CRM-150650,02/03/2025,Kirsty Osei,TEM-97398-A,Note,Updated contact details,,
CRM-118411,2026-04-27,Nia Wren,Wrenfield Plastics Ltd,Call,,,
CRM-145512,2025-08-23,James Jennings,TEM-44752-G,Email,Updated contact details,Book meeting,
CRM-133833,2026-03-25,Amber Doyle,TEM-87173-D,Note,,,2026-03-29
