site_id,account_ref,site_name,postcode,mpan,product,contract_start,contract_end,eac_kwh,current_unit_rate_p_per_kwh,site_status
S-20060,TEM-77237-F,Ivybridge site 1,E22 9EP,6571355579574,RED,2024-12-05,05 December 2025,88000,20.35,Ended
S-20061,TEM-27444-F,Ingleby site 1,L10 6NT,4683-1058-54880,RED,04/04/2025,04-Apr-26,120000,30.19,Ended
S-20062,TEM-19189-F,Yewtree site 1,B20 3NW,9259-1339-88849,RED Plus,2025-06-02,02/06/2027,210000,28.7,Live
S-20063,TEM-40243-F,Ingleby site 1,G27 3HW,5298-9516-35275,RED,14/02/2025,14-Feb-28,155000,23.59,Live
S-20064,TEM-40243-F,Ingleby site 2,L28 2AR,49 8640 6165 458,RED,13/07/2024,13/07/2027,155000,30.93,Live
S-20065,TEM-53486-C,Riverbank site 1,E10 9NP,70 3517 5248 801,RED,29/03/2023,28 March 2026,910000,18.4,Ended
S-20066,TEM-98566-D,Kestrel site 1,M30 7JD,86 9324 0043 823,RED Plus,2023-10-20,19/10/2025,340000,23.13,Ended
S-20067,TEM-98566-D,Kestrel site 2,M11 8JD,7161-2327-25656,RED,08/07/2023,07 July 2025,88000,18.73,Ended
S-20068,TEM-47956-D,Ashcombe site 1,E24 2JX,2997453311231,RED,2026-12-01,01-Dec-27,2100000,22.31,Live
S-20069,TEM-57127-B,Applegarth site 1,G18 2EP,1618-7465-23893,RED,2024-11-07,07 November 2026,480000,26.1,Live
S-20070,TEM-30849-A,Vantage site 1,N18 2NW,0167874482043,REDzero,2024-10-02,02/10/2026,2100000,19.37,Live
S-20071,TEM-52539-G,Eastbrook site 1,M23 3NT,1452199464228,RED Plus,08/12/2025,08/12/2027,2100000,27.02,Live
S-20072,TEM-20013-C,Millpond site 1,M2 8EW,72 0214 0974 975,RED Plus,17/11/2025,17-Nov-26,1250000,32.46,Live
S-20073,TEM-34883-G,Birchmoor site 1,S24 3AD,6444063162763,RED,2024-09-26,26 September 2027,120000,21.48,Live
S-20074,TEM-34883-G,Birchmoor site 2,M22 2JP,7029-8717-36816,RED,12/08/2026,12/08/2027,42000,22.37,Live
S-20075,TEM-69095-E,Silverbeck site 1,S24 9ND,2659163505872,RED,2026-09-12,12-Sep-27,660000,17.6,Live
S-20076,TEM-95566-C,Torque site 1,N24 9HP,7557-1963-38691,RED,2025-07-03,2027-07-03,2100000,30.93,Live
S-20077,TEM-75152-E,Caldwell site 1,B28 3JX,0522-2530-75276,RED,2025-04-11,11 April 2026,120000,28.68,Ended
S-20078,TEM-75152-E,Caldwell site 2,B26 4EX,2108781256660,RED,2023-10-09,08 October 2025,120000,22.06,Ended
S-20079,TEM-51849-B,Yewtree site 1,N1 9NT,5746-8739-65586,REDzero,18/10/2025,18-Oct-26,120000,24.76,Live
S-20080,TEM-18134-D,Bluewater site 1,L20 4JP,5457791514444,RED,27/01/2026,27-Jan-28,340000,21.52,Live
S-20081,TEM-68439-D,Northgate site 1,E16 4HX,3662-3662-98356,RED Plus,2025-03-08,08 March 2027,155000,19.03,Live
S-20082,TEM-71361-D,Pennine site 1,L22 5NT,99 8461 3065 291,RED,2024-06-13,13-Jun-27,340000,19.69,Live
S-20083,TEM-71361-D,Pennine site 2,E25 8AT,0475-9165-71271,RED,2025-02-19,2028-02-19,2100000,29.7,Live
S-20084,TEM-40484-E,Quayside site 1,N18 4JP,1803-2295-65725,RED,2025-04-25,25 April 2026,88000,25.33,Ended
S-20085,TEM-40484-E,Quayside site 2,S23 8JD,7273-9456-87737,RED Plus,06/07/2024,06 July 2025,155000,22.93,Ended
S-20086,TEM-35126-D,Yarrow site 1,G22 3BX,66 5949 6238 556,REDzero,2026-02-07,07 February 2028,660000,22.08,Live
S-20087,TEM-72299-E,Kestrel site 1,L9 6AX,54 1316 4949 333,RED,11/06/2024,11/06/2027,660000,30.05,Live
S-20088,TEM-65052-A,Marlow site 1,L20 6BP,1182584963385,RED,27/01/2025,2027-01-27,210000,19.06,Live
S-20089,TEM-65052-A,Marlow site 2,N10 4BT,9651238856533,REDzero,06/11/2023,05/11/2026,910000,21.02,Live
S-20090,TEM-10885-G,Oakhurst site 1,B30 6JX,8906-9177-45151,RED,2024-04-08,08/04/2027,480000,31.38,Live
S-20091,TEM-24287-E,Redwing site 1,S29 2ER,8098540302835,RED,2025-04-09,09-Apr-27,88000,26.95,Live
S-20092,TEM-24287-E,Redwing site 2,S17 7NP,87 2453 6904 094,RED Plus,01/03/2025,29 February 2028,62500,29.67,Live
S-20093,TEM-24287-E,Redwing site 3,E3 2AX,25 4886 8956 711,RED Plus,09/09/2024,09/09/2026,88000,19.56,Live
S-20094,TEM-24287-E,Redwing site 4,N16 4NR,7752336555696,RED Plus,03/12/2026,03/12/2027,340000,20.73,Live
S-20095,TEM-24287-E,Redwing site 5,M25 7AP,45 4402 1962 131,REDzero,25/07/2024,25-Jul-27,62500,25.03,Live
S-20096,TEM-24287-E,Redwing site 6,E12 1JX,03 5904 2945 333,RED,13/11/2023,12-Nov-26,480000,23.36,Live
S-20097,TEM-24287-E,Redwing site 7,M29 3BX,48 3811 2758 228,REDzero,2025-02-17,17/02/2027,2100000,31.36,Live
S-20098,TEM-24287-E,Redwing site 8,M26 3NR,2754096439715,RED,10/08/2025,10/08/2027,340000,22.17,Live
S-20099,TEM-88135-B,Thackery site 1,M23 2ND,7696-7664-85090,RED,31/10/2022,2025-10-30,340000,23.8,Ended
S-20100,TEM-88135-B,Thackery site 2,E27 6BW,3138-2675-52174,RED,31/01/2022,30-Jan-25,340000,30.16,Ended
S-20101,TEM-88135-B,Thackery site 3,G10 2HX,19 1699 0056 786,RED,2023-05-08,2025-05-07,210000,26.52,Ended
S-20102,TEM-34993-B,Ironbridge site 1,G13 4HW,89 4439 7781 081,RED Plus,10/09/2026,10 September 2027,42000,23.1,Live
S-20103,TEM-20585-C,Gilded site 1,E20 2EW,4097-4888-34049,RED Plus,2023-04-24,2025-04-23,2100000,23.07,Ended
S-20104,TEM-68503-B,Pemberley site 1,L11 4HT,4182498814010,RED,06/04/2026,05 April 2028,1250000,29.3,Live
S-20105,TEM-68503-B,Pemberley site 2,M25 4AP,7949219530671,RED,2025-12-18,2027-12-18,88000,24.83,Live
S-20106,TEM-43687-B,Marlow site 1,N16 5HP,80 8297 9129 504,RED,2025-05-16,16/05/2027,210000,32.38,Live
S-20107,TEM-10494-F,Nettlebed site 1,L8 7BD,25 0799 4426 177,RED,10/09/2023,09 September 2026,210000,30.28,Live
S-20108,TEM-75082-B,Umberside site 1,E5 2JW,8957525379614,RED,2026-11-29,2027-11-29,88000,30.8,Live
S-20109,TEM-75082-B,Umberside site 2,G8 9HP,4092588826526,RED,26/03/2025,26 March 2027,910000,20.76,Live
S-20110,TEM-75082-B,Umberside site 3,N29 4BT,5334-8088-01080,RED,2025-09-10,10/09/2026,660000,30.25,Live
S-20111,TEM-75082-B,Umberside site 4,N17 1EX,3546-0242-75118,RED,2026-01-28,28-Jan-27,2100000,31.83,Live
S-20112,TEM-75082-B,Umberside site 5,S5 7HW,01 0530 3483 628,RED,2025-01-10,10 January 2028,120000,30.0,Live
S-20113,TEM-75082-B,Umberside site 6,G29 5ER,5910-0353-70144,RED,2026-02-21,21 February 2028,340000,24.05,Live
S-20114,TEM-75082-B,Umberside site 7,E9 8NP,1021-5839-35467,RED,2024-02-04,03-Feb-27,480000,32.1,Live
S-20115,TEM-75082-B,Umberside site 8,B19 7BT,6380856469507,RED,28/01/2025,28-Jan-27,2100000,22.06,Live
S-20116,TEM-30963-B,Selworthy site 1,M29 6JR,2386541652432,RED,2025-07-25,25/07/2027,155000,23.42,Live
S-20117,TEM-44719-E,Caldwell site 1,S8 1AW,48 8812 4894 761,RED,09/02/2024,2027-02-08,88000,22.93,Live
S-20118,TEM-40793-F,Ullswater site 1,M24 2HX,6354-0196-91267,REDzero,31/03/2025,30 March 2028,210000,22.5,Live
S-20119,TEM-34344-B,Dunmore site 1,S11 2AP,61 5833 8436 364,RED Plus,2026-04-10,09-Apr-28,155000,26.84,Live
S-20120,TEM-95149-G,Padstow site 1,G1 4AR,98 2314 1840 612,RED,23/10/2026,23 October 2027,42000,32.1,Live
S-20121,TEM-40525-A,Hollybush site 1,B5 6BX,6381783532820,REDzero,2023-12-07,06 December 2024,210000,23.04,Ended
S-20122,TEM-91257-C,Riverbank site 1,N29 2BX,4951268095982,RED,28/07/2023,2025-07-27,88000,22.99,Ended
S-20123,TEM-63607-F,Kingsmead site 1,E18 5ER,99 3347 2795 587,REDzero,20/11/2024,20 November 2026,660000,32.43,Live
S-20124,TEM-97035-E,Riverbank site 1,N18 2AP,9733808436825,RED,07/10/2022,06-Oct-25,88000,23.24,Ended
S-20125,TEM-84254-C,Elmwood site 1,L15 7ET,76 4051 3952 971,RED,24/01/2024,23/01/2027,340000,28.04,Live
S-20126,TEM-84254-C,Elmwood site 2,N8 3JD,6338063550326,RED,18/05/2026,18/05/2027,210000,26.37,Live
S-20127,TEM-84254-C,Elmwood site 3,L18 6AD,25 8378 2666 014,RED,2025-08-13,13-Aug-27,480000,27.01,Live
S-20128,TEM-84254-C,Elmwood site 4,N10 4NW,9418921230438,RED,18/09/2023,17/09/2026,340000,31.27,Live
S-20129,TEM-84254-C,Elmwood site 5,S3 9NR,8596-7510-36742,REDzero,16/01/2026,16 January 2027,660000,21.1,Live
S-20130,TEM-84254-C,Elmwood site 6,M20 5JD,0635-2300-13904,RED,11/06/2025,11-Jun-27,155000,26.73,Live
S-20131,TEM-65542-A,Nettlebed site 1,G3 1JT,07 0678 3559 992,RED Plus,06/05/2024,06/05/2027,910000,30.92,Live
S-20132,TEM-21669-E,Zetland site 1,G10 6JD,6442-5365-64682,RED Plus,10/10/2024,10 October 2026,88000,18.63,Live
S-20133,TEM-35865-C,Fernhill site 1,G12 4JW,6775311486713,RED,08/12/2023,2024-12-07,210000,28.09,Ended
S-20134,TEM-93928-G,Halewood site 1,M4 8EP,7792410751440,RED,2025-06-21,21-Jun-27,120000,17.83,Live
S-20135,TEM-30510-D,Tredegar site 1,B22 8ED,2242178510464,RED,25/06/2026,2027-06-25,155000,21.45,Live
S-20136,TEM-30510-D,Tredegar site 2,M14 1ND,09 8012 2684 922,RED Plus,09/03/2025,08/03/2028,88000,31.05,Live
S-20137,TEM-30510-D,Tredegar site 3,E18 6HR,1744368812494,RED,27/09/2025,27-Sep-27,42000,17.63,Live
S-20138,TEM-30510-D,Tredegar site 4,M30 6JW,4528332115035,RED Plus,10/05/2025,10/05/2027,155000,21.98,Live
S-20139,TEM-30510-D,Tredegar site 5,L26 9EX,6190-1577-73622,RED,16/09/2025,16 September 2027,88000,20.5,Live
S-20140,TEM-30510-D,Tredegar site 6,N19 3EW,4043827600445,RED Plus,15/10/2024,15-Oct-26,210000,21.59,Live
S-20141,TEM-25431-D,Westcliff site 1,L15 7AR,14 8383 3688 635,RED,2025-10-21,21/10/2027,120000,24.43,Live
S-20142,TEM-33430-A,Ullswater site 1,B18 4EX,5649-4282-17687,RED Plus,08/11/2025,08/11/2026,88000,21.04,Live
S-20143,TEM-33430-A,Ullswater site 2,N17 3EP,3991-6613-48306,RED,2025-12-16,2027-12-16,42000,22.88,Live
S-20144,TEM-33430-A,Ullswater site 3,E15 3JP,02 3990 2805 392,RED,06/10/2025,06 October 2026,480000,20.41,Live
S-20145,TEM-33430-A,Ullswater site 4,G5 6HT,31 9749 2227 889,RED,2025-06-01,01-Jun-27,480000,27.02,Live
S-20146,TEM-33430-A,Ullswater site 5,E29 3AP,49 5124 4843 286,RED,2025-06-28,28 June 2027,660000,18.85,Live
S-20147,TEM-33430-A,Ullswater site 6,L5 3JP,2509-0403-07188,RED,2024-07-28,28/07/2027,1250000,21.28,Live
S-20148,TEM-26836-C,Ashcombe site 1,M17 2BP,82 2335 4169 059,RED,13/11/2024,13-Nov-26,120000,29.77,Live
S-20149,TEM-26836-C,Ashcombe site 2,L17 2ED,7866406431215,RED Plus,2024-12-31,31/12/2026,42000,23.55,Live
S-20150,TEM-77040-A,Exmoor site 1,E11 1AX,3360-1496-90922,REDzero,12/03/2027,11/03/2028,480000,20.81,Live
S-20151,TEM-99932-G,Lighthouse site 1,B11 7HT,3605-6856-23556,RED,24/06/2026,24/06/2027,660000,23.97,Live
S-20152,TEM-28818-C,Tredegar site 1,B21 3AR,4357018714113,RED,2025-06-25,2027-06-25,2100000,29.61,Live
S-20153,TEM-31132-F,Quenington site 1,G9 4HD,36 0621 9457 805,RED,24/01/2026,2027-01-24,42000,19.88,Live
S-20154,TEM-48299-G,Stanhope site 1,M20 7HT,94 0660 6824 713,RED,2025-05-15,14/05/2028,2100000,28.57,Live
S-20155,TEM-48299-G,Stanhope site 2,M29 6AR,7235504389172,RED,2024-04-19,2027-04-19,42000,22.46,Live
S-20156,TEM-48299-G,Stanhope site 3,B3 8AW,9373821668276,RED,26/10/2024,26-Oct-26,155000,21.01,Live
S-20157,TEM-48299-G,Stanhope site 4,M21 7BR,2839-2737-76595,REDzero,06/02/2026,06/02/2028,2100000,18.98,Live
S-20158,TEM-48299-G,Stanhope site 5,S16 4BW,13 4689 4828 271,RED,2025-07-07,07-Jul-27,210000,31.45,Live
S-20159,TEM-48299-G,Stanhope site 6,S3 4HR,91 3990 8566 621,RED Plus,2023-10-26,25/10/2026,2100000,18.1,Live
S-20160,TEM-53362-G,Jarrow site 1,L5 4AP,75 0291 7706 054,RED Plus,2026-10-31,31/10/2027,42000,23.5,Live
S-20161,TEM-14429-B,Bramble site 1,B2 1JW,2968909930652,RED,13/12/2024,13/12/2026,340000,17.58,Live
S-20162,TEM-14429-B,Bramble site 2,E12 2ET,5598-1355-12634,RED,2026-02-16,16/02/2028,1250000,24.84,Live
S-20163,TEM-14429-B,Bramble site 3,S18 6ER,0898-0791-95120,RED Plus,2026-04-08,2027-04-08,340000,30.34,Live
S-20164,TEM-84333-C,Ullswater site 1,G25 3JP,46 2821 3144 052,RED Plus,2023-10-31,2024-10-30,480000,25.88,Ended
S-20165,TEM-84333-C,Ullswater site 2,E5 5AP,8198570405096,RED,03/02/2023,2026-02-02,88000,32.09,Ended
S-20166,TEM-84333-C,Ullswater site 3,N10 5BW,0033661793595,RED,2024-02-11,2025-02-10,88000,21.3,Ended
S-20167,TEM-30791-B,Jarrow site 1,N19 6NW,3868303808275,RED,13/11/2024,13 November 2026,155000,19.84,Live
S-20168,TEM-30791-B,Jarrow site 2,S2 4NW,8761-5407-27911,REDzero,2027-01-17,17 January 2028,2100000,29.07,Live
S-20169,TEM-30791-B,Jarrow site 3,N18 4JP,5804203300459,RED,26/04/2026,26/04/2027,660000,19.06,Live
S-20170,TEM-94534-G,Yewtree site 1,L17 8NR,50 7900 1634 671,REDzero,2024-06-18,18-Jun-27,210000,21.97,Live
S-20171,TEM-94534-G,Yewtree site 2,L5 4BW,9456-1826-52950,RED Plus,2025-04-13,12 April 2028,210000,21.66,Live
S-20172,TEM-13306-D,Selworthy site 1,N21 4BD,6773051097054,RED Plus,2022-07-21,2025-07-20,120000,18.53,Ended
S-20173,TEM-77929-E,Saltmarsh site 1,E29 4NR,5578004198546,RED,02/10/2023,01 October 2026,480000,31.74,Live
S-20174,TEM-80569-A,Garwood site 1,B10 2JR,62 2996 3883 623,RED,2025-10-12,12-Oct-27,120000,31.13,Live
S-20175,TEM-15087-A,Cobalt site 1,E24 1BW,9249-7728-14108,RED,12/01/2026,12 January 2028,910000,19.19,Live
S-20176,TEM-15087-A,Cobalt site 2,E24 6AT,90 8617 2587 259,RED,2025-03-15,15/03/2027,660000,31.75,Live
S-20177,TEM-21196-E,Applegarth site 1,B1 6JX,3812-6666-89447,RED Plus,02/03/2025,02-Mar-27,480000,17.53,Live
S-20178,TEM-21196-E,Applegarth site 2,M18 2NP,1588567935233,RED,31/10/2025,31/10/2027,62500,26.1,Live
S-20179,TEM-59735-G,Violetta site 1,G18 5BX,4387302633952,RED,2026-01-29,2028-01-29,155000,19.09,Live
S-20180,TEM-37782-D,Ingleby site 1,M18 7BP,8455-1241-75698,RED,2026-12-11,11 December 2027,88000,31.85,Live
S-20181,TEM-13766-A,Norbury site 1,N3 9HP,28 9451 5448 945,RED,16/10/2024,16 October 2027,480000,19.76,Live
S-20182,TEM-60311-A,Foxglove site 1,N15 9EW,20 3005 4446 229,RED,22/04/2025,21 April 2028,62500,18.35,Live
S-20183,TEM-94714-B,Vantage site 1,S6 2NP,8051295576699,RED,2024-03-14,14-Mar-25,340000,30.33,Ended
S-20184,TEM-58237-C,Verity site 1,E29 8HP,21 9534 9483 094,RED Plus,2024-03-24,24/03/2025,480000,30.42,Ended
S-20185,TEM-58237-C,Verity site 2,S22 9AD,2068-6028-65500,RED,23/05/2024,2026-05-23,210000,22.1,Ended
S-20186,TEM-16306-E,Cranleigh site 1,M11 1NR,6740-9592-41015,RED Plus,2025-05-21,2027-05-21,1250000,29.05,Live
S-20187,TEM-17073-A,Ottershaw site 1,M9 9EX,7596-5935-95576,RED,2025-05-07,07/05/2027,88000,20.42,Live
S-20188,TEM-30826-C,Denholm site 1,E18 3JP,5525-2728-01287,RED Plus,18/12/2024,18 December 2027,62500,25.58,Live
S-20189,TEM-22471-D,Stanhope site 1,L15 6HD,7204-7744-90651,REDzero,2027-04-21,20-Apr-28,340000,32.07,Live
S-20190,TEM-22471-D,Stanhope site 2,B20 9ET,9060-6121-61653,RED,2023-12-24,23-Dec-26,1250000,21.12,Live
S-20191,TEM-92672-B,Marlow site 1,N25 6EW,40 8466 9933 594,RED,15/07/2024,15-Jul-27,910000,18.41,Live
S-20192,TEM-52380-B,Lowther site 1,S1 2ED,4033287788289,RED,2025-10-09,09 October 2027,155000,29.2,Live
S-20193,TEM-49519-G,Padstow site 1,B17 4JX,5905-4398-80906,RED,19/12/2026,19-Dec-27,210000,20.39,Live
S-20194,TEM-43906-F,Westcliff site 1,G2 7AW,2631-5386-96484,RED,2025-10-22,22 October 2027,42000,30.3,Live
S-20195,TEM-43906-F,Westcliff site 2,S21 9HT,9485799008957,RED Plus,25/09/2024,25 September 2027,1250000,23.24,Live
S-20196,TEM-93621-A,Millpond site 1,S21 8HW,39 2447 3456 865,RED Plus,2025-05-02,02/05/2027,480000,27.48,Live
S-20197,TEM-93621-A,Millpond site 2,L27 1AP,9698806983708,REDzero,2026-05-10,10/05/2027,660000,27.98,Live
S-20198,TEM-93621-A,Millpond site 3,L24 8AD,4315507606139,REDzero,2026-05-14,2028-05-13,42000,27.72,Live
S-20199,TEM-70722-A,Ashcombe site 1,B2 4AD,2750781222782,RED,2023-09-21,20-Sep-26,42000,17.84,Live
S-20200,TEM-70722-A,Ashcombe site 2,E24 2BT,0869-1731-11592,RED,08/09/2023,07/09/2026,910000,30.2,Live
S-20201,TEM-95522-G,Harborne site 1,N24 8HX,26 3090 3773 070,RED,2026-05-07,07/05/2027,2100000,24.81,Live
S-20202,TEM-62446-F,Cedar site 1,B8 7JT,2930462817408,RED,2027-01-03,2028-01-03,42000,23.52,Live
S-20203,TEM-62446-F,Cedar site 2,G28 9ND,3409568001284,RED,22/11/2025,22-Nov-26,88000,32.43,Live
S-20204,TEM-11393-D,Caldwell site 1,M9 9NX,6645406136346,RED,2025-09-06,06 September 2026,88000,20.74,Live
S-20205,TEM-80914-B,Yarrow site 1,B11 5ED,0047-7491-14113,RED,15/10/2025,15 October 2026,88000,25.97,Live
S-20206,TEM-26042-F,Oakhurst site 1,N27 2EX,92 2087 3502 733,RED,2027-01-26,26-Jan-28,155000,19.89,Live
S-20207,TEM-98458-C,Yarrow site 1,G19 3AX,01 9060 9177 369,RED,29/11/2026,29-Nov-27,88000,24.5,Live
S-20208,TEM-37788-B,Thackery site 1,E11 6JD,1392-7909-87473,RED Plus,16/06/2025,2027-06-16,120000,25.45,Live
